Paper_title,Wash_free,Centrifugation_free,Heat_free,Downstream_compatible,Methods,Year,DOI,Paper_ID,Protocol_ID,Temp_max,Wash_steps,Bucket,Bucket_weight,Downstream_compatibility_flag,Detergents_used,Capture_or_enrichment_or_purification_methods,Evidence,Provenance
A method of direct PCR without DNA extraction for rapid detection of begomoviruses infecting jute and mesta,False,False,False,True,"['enzyme_proteinasek_or_other', 'heat_lysis_or_inactivation', 'other:chemical lysis buffer (Tris-Cl, EDTA, NaCl) with additives PVP and β-mercaptoethanol; ethanol wash of tissue']",2014,10.1111/lam.12196,2014_lam12196,1ddfeba9ff,,,0001,0.25,True,[],[],,
A method of direct PCR without DNA extraction for rapid detection of begomoviruses infecting jute and mesta,False,False,False,True,"['enzyme_proteinasek_or_other', 'heat_lysis_or_inactivation', 'other:chemical lysis buffer (Tris-Cl, EDTA, NaCl) with additives PVP and β-mercaptoethanol; optional sodium acetate; ethanol wash of tissue']",2014,10.1111/lam.12196,2014_lam12196,56d588f822,,,0001,0.25,True,[],[],,
Comparison of media and standards for SARS-CoV-2 RT-qPCR without prior RNA preparation.,False,False,False,False,['other:No experimental protocol described on provided pages (references section only; pages 14–15).'],2020,10.1101/2020.08.01.20166173,2020_202008012,02b1995967,,,0000,0.0,False,[],[],,
Rapid Direct Nucleic Acid Amplification Test without RNA Extraction for SARS-CoV-2 Using a Portable PCR Thermocycler,True,True,False,True,['other:use of PCR inhibitor-tolerant/enhanced one-step RT-qPCR mastermix enabling direct amplification from crude sputum/nasal exudate without RNA extraction (DIRECT-PCR; lysis/reverse transcription/amplification in a single-tube homogeneous reaction per Abstract; Pages 1–3)'],2020,10.3390/genes11060664,2020_genes1106066,70a6961b61,,,1101,0.75,True,[],[],,
Rapid Direct Nucleic Acid Amplification Test without RNA Extraction for SARS-CoV-2 Using a Portable PCR Thermocycler,True,True,False,True,['other:direct RT-qPCR (single-tube) from crude respiratory matrices using inhibitor-resistant enzymes/reagents; no RNA purification'],2020,10.3390/genes11060664,2020_genes1106066,fd8e23111d,,,1101,0.75,True,[],[],,
Extraction-free SARS-CoV-2 detection by rapid RT-qPCR universal for all primary respiratory materials,True,False,False,True,['heat_lysis_or_inactivation'],2020,10.1016/j.jcv.2020.104579,2020_jjcv20201,18523d54ee,,,1001,0.5,True,[],[],,
"A novel two-step, direct-to-PCR method for virus detection off swabs using human coronavirus 229E",True,True,True,True,['mechanical'],2020,10.1186/s12985-020-01405-y,2020_s12985-020-0,bb166192fd,,,1111,1.0,True,[],[],,
Massive and rapid COVID-19 testing is feasible by extraction-free SARS-CoV-2 RT-PCR,True,True,False,True,['heat_lysis_or_inactivation'],2020,10.1038/s41467-020-18611-5,2020_s41467-020-1,0a28781f90,,,1101,0.75,True,[],[],,
Massive and rapid COVID-19 testing is feasible by extraction-free SARS-CoV-2 RT-PCR,True,True,True,False,['detergent_lysis'],2020,10.1038/s41467-020-18611-5,2020_s41467-020-1,69d62d4231,,,1110,0.75,False,[],[],,
Massive and rapid COVID-19 testing is feasible by extraction-free SARS-CoV-2 RT-PCR,False,False,False,False,['other:conventional RNA extraction using commercial kit/lysis buffer (referenced comparator workflow)'],2020,10.1038/s41467-020-18611-5,2020_s41467-020-1,a9ac6b4afe,,,0000,0.0,False,[],[],,
Massive and rapid COVID-19 testing is feasible by extraction-free SARS-CoV-2 RT-PCR,True,False,False,True,['heat_lysis_or_inactivation'],2020,10.1038/s41467-020-18611-5,2020_s41467-020-1,6a40b55185,,,1001,0.5,True,[],[],,
Massive and rapid COVID-19 testing is feasible by extraction-free SARS-CoV-2 RT-PCR,True,False,True,True,['detergent_lysis'],2020,10.1038/s41467-020-18611-5,2020_s41467-020-1,295f5aed3d,,,1011,0.75,True,[],[],,
Massive and rapid COVID-19 testing is feasible by extraction-free SARS-CoV-2 RT-PCR,True,False,False,False,['other:RNA extraction using MagNA Pure 96 DNA and Viral NA SV kit (referenced clinical routine workflow comparator)'],2020,10.1038/s41467-020-18611-5,2020_s41467-020-1,addf017567,,,1000,0.25,False,[],[],,
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method,True,True,False,True,"['chelating_resin', 'heat_lysis_or_inactivation', 'other:lowTE/TED (TE-based buffer) with optional DMSO; direct RT-qPCR/RT-ddPCR from heat-inactivated Chelex-treated sample']",2021,10.1101/2021.01.29.21250790,2021_202101292,a2013daef8,,,1101,0.75,True,[],[],,
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method,False,False,False,False,['enzyme_proteinasek_or_other'],2021,10.1101/2021.01.29.21250790,2021_202101292,440198ad9c,,,0000,0.0,False,[],[],,
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method,False,False,False,False,['other:conventional RNA extraction (easyMAG-CL / CDC RNA extraction referenced as comparator)'],2021,10.1101/2021.01.29.21250790,2021_202101292,6527247bc8,,,0000,0.0,False,[],[],,
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method.,True,False,False,True,"['chelating_resin', 'heat_lysis_or_inactivation']",2021,10.1101/2021.01.29.21250790,2021_202101292,4ec92f62fb,,,1001,0.5,True,[],[],,
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method.,False,False,False,False,['other:commercial RNA extraction platform/kit (NucliSENS easyMAG; RNeasy/RNeasy Protect Saliva kits mentioned)'],2021,10.1101/2021.01.29.21250790,2021_202101292,83cf6b3454,,,0000,0.0,False,[],[],,
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method,False,False,False,False,"['other:protocol details not described on provided pages; only a table label referencing ""RNA-extraction"" is shown (Table 1, p.21)']",2021,10.1101/2021.01.29.21250790,2021_202101292,8e29e39400,,,0000,0.0,False,[],[],,
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method,True,True,False,True,"['heat_lysis_or_inactivation', 'chelating_resin']",2021,10.1101/2021.01.29.21250790,2021_202101292,c68365a160,,,1101,0.75,True,[],[],,
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method,True,True,False,True,['enzyme_proteinasek_or_other'],2021,10.1101/2021.01.29.21250790,2021_202101292,cb7170a710,,,1101,0.75,True,[],[],,
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method.,True,True,False,True,"['chelating_resin', 'heat_lysis_or_inactivation', 'other:lowTE/TED buffer-based preparation']",2021,10.1101/2021.01.29.21250790,2021_202101292,c7d3ea5bdd,,,1101,0.75,True,[],[],,
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method.,False,False,False,False,['other:commercial RNA extraction (RNeasy Protect Saliva Mini Kit)'],2021,10.1101/2021.01.29.21250790,2021_202101292,c160cd10f8,,,0000,0.0,False,[],[],,
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method.,True,True,False,False,['enzyme_proteinasek_or_other'],2021,10.1101/2021.01.29.21250790,2021_202101292,552fa3ff08,,,1100,0.5,False,[],[],,
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method,False,False,False,False,"['chelating_resin', 'heat_lysis_or_inactivation', 'other:saliva/virus sample treatment tested with Chelex in different diluents (e.g., water/TE/TED99) and additives (e.g., DMSO, urea, detergents such as Triton X-100/IGEPAL/Tween implied by labels), evaluated by RT-qPCR targets N1/N2/RPP30']",2021,10.1101/2021.01.29.21250790,2021_202101292,1928b7b0c7,,,0000,0.0,False,[],[],,
A Saliva-Based RNA Extraction-Free Workflow Integrated With Cas13a for SARS-CoV-2 Detection,True,True,False,True,"['detergent_lysis', 'enzyme_proteinasek_or_other', 'heat_lysis_or_inactivation', 'other:mucolytic/mucoactive treatment (N-acetyl cysteine; sodium citrate/ammonium chloride)']",2021,10.3389/fcimb.2021.632646,2021_fcimb20216,d3ad6a330e,,,1101,0.75,True,[],[],,
A Saliva-Based RNA Extraction-Free Workflow Integrated With Cas13a for SARS-CoV-2 Detection,False,False,False,False,['other:commercial viral RNA extraction kit (Qiagen) for RT-qPCR comparison/validation'],2021,10.3389/fcimb.2021.632646,2021_fcimb20216,d724b08336,,,0000,0.0,False,[],[],,
A Saliva-Based RNA Extraction-Free Workflow Integrated With Cas13a for SARS-CoV-2 Detection,True,True,False,True,"['detergent_lysis', 'enzyme_proteinasek_or_other', 'heat_lysis_or_inactivation', 'other:chemical treatment with N-acetyl cysteine (mucolytic/reducing agent) in RNA release buffer; direct use of treated saliva for RT-qPCR/SHERLOCK']",2021,10.3389/fcimb.2021.632646,2021_fcimb20216,f554a123f4,,,1101,0.75,True,[],[],,
A Saliva-Based RNA Extraction-Free Workflow Integrated With Cas13a for SARS-CoV-2 Detection,False,False,False,False,['other:RNA extraction-based (kit-based) workflow on saliva collected in RNAlater; used for RT-qPCR comparison (details not provided on these pages)'],2021,10.3389/fcimb.2021.632646,2021_fcimb20216,b4f1671b5e,,,0000,0.0,False,[],[],,
A Saliva-Based RNA Extraction-Free Workflow Integrated With Cas13a for SARS-CoV-2 Detection,False,False,False,False,['other:No experimental sample-preparation protocol described on provided pages (references/conflict of interest/copyright sections only).'],2021,10.3389/fcimb.2021.632646,2021_fcimb20216,7c18b3bbf6,,,0000,0.0,False,[],[],,
SwabExpress: An End-to-End Protocol for Extraction-Free COVID-19 Testing,True,True,False,True,"['enzyme_proteinasek_or_other', 'heat_lysis_or_inactivation']",2021,10.1093/clinchem/hvab132,2021_hvab132,093be508e0,,,1101,0.75,True,[],[],,
SwabExpress: An End-to-End Protocol for Extraction-Free COVID-19 Testing,True,True,True,False,"['detergent_lysis', 'other:rehydration/elution of dry nasal swab into low-TE buffer; evaluated for direct RT-qPCR compatibility']",2021,10.1093/clinchem/hvab132,2021_hvab132,9bd93dbe08,,,1110,0.75,False,[],[],,
SwabExpress: An End-to-End Protocol for Extraction-Free COVID-19 Testing,False,False,False,False,['other:automated magnetic-bead nucleic-acid extraction (Roche MagNA Pure 96; Thermo KingFisher Flex MagMAX Viral/Pathogen kit) used as extraction-based comparator'],2021,10.1093/clinchem/hvab132,2021_hvab132,163bc7cf90,,,0000,0.0,False,[],[],,
SwabExpress: An End-to-End Protocol for Extraction-Free COVID-19 Testing,True,True,False,True,"['enzyme_proteinasek_or_other', 'heat_lysis_or_inactivation', 'other:dry anterior nares swab elution into low-TE buffer; direct RT–qPCR from treated eluate (extraction-free)']",2021,10.1093/clinchem/hvab132,2021_hvab132,60f276c096,,,1101,0.75,True,[],[],,
Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards,False,False,False,False,"['enzyme_proteinasek_or_other', 'other:FTA purification reagent']",2021,10.3390/ijms222312915,2021_ijms22231291,01171706e5,,,0000,0.0,False,[],[],,
Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards,False,False,False,False,"['enzyme_proteinasek_or_other', 'other:TE buffer', 'other:FTA Elute buffer']",2021,10.3390/ijms222312915,2021_ijms22231291,0e2de01f9f,,,0000,0.0,False,[],[],,
Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards,False,False,False,False,"['other:TE buffer', 'other:Tissue Lysis Reagent (TLR)']",2021,10.3390/ijms222312915,2021_ijms22231291,6815bb67f8,,,0000,0.0,False,[],[],,
Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards,False,False,False,False,['other:TE buffer'],2021,10.3390/ijms222312915,2021_ijms22231291,2d11a019e0,,,0000,0.0,False,[],[],,
Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards,False,False,False,False,['other:M-lysis reagent'],2021,10.3390/ijms222312915,2021_ijms22231291,2b61b192aa,,,0000,0.0,False,[],[],,
Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards,False,False,False,False,"['chelating_resin', 'other:TE buffer']",2021,10.3390/ijms222312915,2021_ijms22231291,cbe153eccc,,,0000,0.0,False,[],[],,
Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards,False,False,False,False,"['chelating_resin', 'other:TED10 buffer']",2021,10.3390/ijms222312915,2021_ijms22231291,033a6cfd71,,,0000,0.0,False,[],[],,
Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards,True,False,False,False,"['enzyme_proteinasek_or_other', 'heat_lysis_or_inactivation']",2021,10.3390/ijms222312915,2021_ijms22231291,e03663f928,,,1000,0.25,False,[],[],,
Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards,True,True,True,False,['enzyme_proteinasek_or_other'],2021,10.3390/ijms222312915,2021_ijms22231291,31e42f346d,,,1110,0.75,False,[],[],,
Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards,False,False,False,False,"['enzyme_proteinasek_or_other', 'heat_lysis_or_inactivation']",2021,10.3390/ijms222312915,2021_ijms22231291,ef9efa4b1e,,,0000,0.0,False,[],[],,
Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards,True,True,True,False,['other:buffer elution (TE) from FTA punches'],2021,10.3390/ijms222312915,2021_ijms22231291,2706977950,,,1110,0.75,False,[],[],,
Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards,False,False,False,False,['heat_lysis_or_inactivation'],2021,10.3390/ijms222312915,2021_ijms22231291,4dc415072c,,,0000,0.0,False,[],[],,
Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards,True,False,True,False,['other:buffer elution (TE) from FTA punches'],2021,10.3390/ijms222312915,2021_ijms22231291,ab904d542b,,,1010,0.5,False,[],[],,
Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards,True,False,True,False,['other:lysis buffer (Roche complete lysis-M)'],2021,10.3390/ijms222312915,2021_ijms22231291,4672a8bfa8,,,1010,0.5,False,[],[],,
Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards,True,False,True,False,"['chelating_resin', 'other:buffer elution (TE) from FTA punches']",2021,10.3390/ijms222312915,2021_ijms22231291,9837515b24,,,1010,0.5,False,[],[],,
Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards,True,False,False,False,"['chelating_resin', 'heat_lysis_or_inactivation']",2021,10.3390/ijms222312915,2021_ijms22231291,3d4cb1c135,,,1000,0.25,False,[],[],,
Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards,True,False,True,False,"['chelating_resin', 'other:TE buffer with DMSO (TED10) elution']",2021,10.3390/ijms222312915,2021_ijms22231291,551708eab2,,,1010,0.5,False,[],[],,
Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards,True,False,False,False,"['chelating_resin', 'heat_lysis_or_inactivation']",2021,10.3390/ijms222312915,2021_ijms22231291,3d4cb1c135,,,1000,0.25,False,[],[],,
Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards,False,False,False,False,['other:magnetic bead-based extraction (NucleoMagVet/KingFisher) with wash steps'],2021,10.3390/ijms222312915,2021_ijms22231291,9650752859,,,0000,0.0,False,[],[],,
Molecular Characterization of Increased Amplicon Lengths in SARS-CoV-2 Reverse Transcription Loop-Mediated Isothermal Amplification Assays,False,False,False,False,"['heat_lysis_or_inactivation', 'other:LAMP/RT-LAMP amplification (WarmStart Colorimetric LAMP) with evaluation of additives (e.g., guanidine hydrochloride, DMSO, GC-Melt, PVSA) and subsequent amplicon purification for sequencing/analysis']",2021,10.7171/jbt.21-3203-014,2021_jbt21-3203-,13e8acf861,,,0000,0.0,False,[],[],,
Molecular Characterization of Increased Amplicon Lengths in SARS-CoV-2 Reverse Transcription Loop-Mediated Isothermal Amplification Assays,False,False,False,False,['other:RT-LAMP assay development/optimization and sequencing-based characterization of RT-LAMP amplicons; no explicit sample-prep protocol described on provided pages (Figures 4–5 and References/Acknowledgments pages)'],2021,10.7171/jbt.21-3203-014,2021_jbt21-3203-,7d4df956e9,,,0000,0.0,False,[],[],,
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a chelating resin,True,False,False,True,"['chelating_resin', 'heat_lysis_or_inactivation', 'other:sample drying/desiccation (SpeedVac) and resuspension in buffer']",2021,10.1016/j.isci.2021.102960,2021_jisci2021,6d483bdb53,,,1001,0.5,True,[],[],,
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a chelating resin,True,True,False,False,"['heat_lysis_or_inactivation', 'other:direct heating in buffer without RNA extraction (tested across multiple buffers; some incompatible/inhibitory)']",2021,10.1016/j.isci.2021.102960,2021_jisci2021,852f45b648,,,1100,0.5,False,[],[],,
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a chelating resin,True,True,False,True,"['chelating_resin', 'heat_lysis_or_inactivation']",2021,10.1016/j.isci.2021.102960,2021_jisci2021,c491a41029,,,1101,0.75,True,[],[],,
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a chelating resin,True,True,False,False,"['enzyme_proteinasek_or_other', 'heat_lysis_or_inactivation']",2021,10.1016/j.isci.2021.102960,2021_jisci2021,aee0ff04fd,,,1100,0.5,False,[],[],,
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a chelating resin,False,False,False,False,"['other:conventional RNA extraction (CDC protocol; easyMAG-CL), details not provided on shown pages']",2021,10.1016/j.isci.2021.102960,2021_jisci2021,14875a007d,,,0000,0.0,False,[],[],,
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a chelating resin,True,False,False,True,"['chelating_resin', 'heat_lysis_or_inactivation', 'other:brief vortexing/mixing']",2021,10.1016/j.isci.2021.102960,2021_jisci2021,446b5a0a84,,,1001,0.5,True,[],[],,
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a chelating resin,False,False,False,False,['other:conventional RNA extraction (NucliSENS easyMAG platform / Qiagen RNeasy kits)'],2021,10.1016/j.isci.2021.102960,2021_jisci2021,7904d97347,,,0000,0.0,False,[],[],,
Extraction-free RT-LAMP to detect SARS-CoV-2 is less sensitive but highly specific compared to standard RT-PCR in 101 samples,True,False,False,True,['heat_lysis_or_inactivation'],2021,10.1016/j.jcv.2021.104764,2021_jjcv20211,d27980dd77,,,1001,0.5,True,[],[],,
SARS-CoV-2 detection by extraction-free qRT-PCR for massive and rapid COVID-19 diagnosis during a pandemic in Armenia,True,True,False,True,['heat_lysis_or_inactivation'],2021,10.1016/j.jviromet.2021.114062,2021_jjviromet2,f17413551c,,,1101,0.75,True,[],[],,
SARS-CoV-2 detection by extraction-free qRT-PCR for massive and rapid COVID-19 diagnosis during a pandemic in Armenia,True,False,False,True,"['heat_lysis_or_inactivation', 'other:pelleting_by_centrifugation_and_resuspension']",2021,10.1016/j.jviromet.2021.114062,2021_jjviromet2,7e348c9812,,,1001,0.5,True,[],[],,
An in-well direct lysis method for rapid detection of SARS-CoV-2 by real time RT-PCR in eSwab specimens.,False,False,False,False,"['enzyme_proteinasek_or_other', 'heat_lysis_or_inactivation']",2021,10.1016/j.jviromet.2021.114062,2021_jjviromet2,26f233a1b4,,,0000,0.0,False,[],[],,
Comparative effects of viral-transport-medium heat inactivation upon downstream SARS-CoV-2 detection in patient samples,True,True,False,True,['heat_lysis_or_inactivation'],2021,10.1099/jmm.0.001301,2021_jmm0001301,9aca8915ac,,,1101,0.75,True,[],[],,
Comparative effects of viral-transport-medium heat inactivation upon downstream SARS-CoV-2 detection in patient samples.,True,True,False,True,['heat_lysis_or_inactivation'],2021,10.1099/jmm.0.001301,2021_jmm0001301,2681bf1597,,,1101,0.75,True,[],[],,
